  PERMNO        date            mcd        vwretd        ewretd        sprtrn
   43449    19830131      -0.019130      0.041850      0.117062      0.033134
   43449    19830228       0.120763      0.030219      0.047266      0.018995
   43449    19830331       0.039698      0.034673      0.050515      0.033095
   43449    19830429       0.010909      0.074188      0.080687      0.074922
   43449    19830531      -0.089928      0.013226      0.091740     -0.012346
   43449    19830630       0.039683      0.037838      0.046341      0.035224
   43449    19830729      -0.057252     -0.031567     -0.017556     -0.033014
   43449    19830831      -0.018293      0.003463     -0.032920      0.011319
   43449    19830930       0.070393      0.016059      0.000051      0.010158
   43449    19831031       0.079304     -0.028049     -0.059273     -0.015174
   43449    19831130       0.019784      0.029556      0.031713      0.017426
   43449    19831230      -0.005291     -0.010464     -0.019672     -0.008834
   43449    19840131      -0.042553     -0.013023      0.005424     -0.009216
   43449    19840229      -0.044610     -0.039073     -0.050767     -0.038859
   43449    19840330       0.068093      0.013389      0.007449      0.013498
   43449    19840430      -0.020036      0.002534     -0.020524      0.005466
   43449    19840531      -0.064461     -0.052342     -0.051570     -0.059356
   43449    19840629       0.095808      0.023385      0.011996      0.017469
   43449    19840731       0.051585     -0.020621     -0.050303     -0.016451
   43449    19840831       0.059130      0.112689      0.088817      0.106332
   43449    19840928      -0.007389      0.000404     -0.000377     -0.003480
   43449    19841031       0.046253     -0.000074     -0.023756     -0.000060
   43449    19841130      -0.019048     -0.010685     -0.031506     -0.015112
   43449    19841231       0.002427      0.023656      0.002732      0.022374
   43449    19850131       0.110508      0.085718      0.121475      0.074085
   43449    19850228       0.054705      0.016896      0.046034      0.008685
   43449    19850329      -0.016598     -0.001747     -0.003581     -0.002925
   43449    19850430       0.025316     -0.002186     -0.009652     -0.004594
   43449    19850531       0.102469      0.055775      0.022221      0.054051
   43449    19850628       0.026217      0.017091      0.002103      0.012134
   43449    19850731      -0.036861     -0.000251      0.021382     -0.004848
   43449    19850830      -0.017110     -0.004795     -0.002214     -0.011995
   43449    19850930       0.003868     -0.039825     -0.056859     -0.034724
   43449    19851031       0.032370      0.044441      0.017652      0.042509
   43449    19851129       0.119850      0.069228      0.052563      0.065062
   43449    19851231       0.081940      0.043061      0.028021      0.045061
   43449    19860131      -0.009583      0.009829      0.044071      0.002367
   43449    19860228       0.118936      0.072500      0.060381      0.071489
   43449    19860331       0.078322      0.053885      0.047192      0.052794
   43449    19860430       0.032425     -0.007900      0.016144     -0.014148
   43449    19860530       0.033894      0.050844      0.036194      0.050229
   43449    19860630       0.068819      0.014246      0.008087      0.014110
   43449    19860731      -0.122530     -0.059700     -0.073128     -0.058683
